

AAPL Financials(Income Statement/Balance Sheet):

Income Statement for AAPL                                                        2023-09-30      2022-09-30      2021-09-30      2020-09-30
Basic Average Shares                                          NaN   3805200000.0   4061900000.0   4118000000.0
Diluted EPS                                                   NaN           3.27           5.08           0.43
Basic EPS                                                     NaN            3.3           5.13           0.43
Diluted NI Availto Com Stockholders                 17982000000.0  12562000000.0  20818000000.0   1786000000.0
Net Income Common Stockholders                      17982000000.0  12562000000.0  20818000000.0   1786000000.0
Preferred Stock Dividends                            1160000000.0   1115000000.0   1291000000.0   1591000000.0
Net Income                                          19142000000.0  13677000000.0  22109000000.0   3377000000.0
Minority Interests                                    113000000.0    299000000.0  -1690000000.0   -285000000.0
Net Income Including Noncontrolling Interests       19029000000.0  13378000000.0  23799000000.0   3662000000.0
Net Income Continuous Operations                    19029000000.0  13378000000.0  23799000000.0   3662000000.0
Tax Provision                                        2607000000.0   2251000000.0   5764000000.0  -1157000000.0
Pretax Income                                       21636000000.0  15629000000.0  29563000000.0   2505000000.0
Special Income Charges                                        NaN     -5000000.0    -76000000.0  -1499000000.0
Other Special Charges                                         NaN            NaN            NaN    -71000000.0
Restructuring And Mergern Acquisition                         NaN      5000000.0     76000000.0   1499000000.0
Gain On Sale Of Security                                      0.0            0.0            0.0  -1800000000.0
Selling General And Administration                  36641000000.0  34845000000.0  36141000000.0  35411000000.0
Selling And Marketing Expense                         812000000.0    505000000.0    600000000.0    600000000.0
General And Administrative Expense                  35829000000.0  34340000000.0  35541000000.0  34811000000.0
Salaries And Wages                                  35829000000.0  34340000000.0  35541000000.0  34811000000.0
Total Revenue                                       82597000000.0  74368000000.0  79166000000.0  74264000000.0
Operating Revenue                                   82597000000.0  74368000000.0  79166000000.0  74264000000.0

Balance Sheet for WFC                                                   2023-12-31       2022-12-31       2021-12-31       2020-12-31
Treasury Shares Number                           1882948892.0     1648007022.0     1596009977.0     1337799931.0
Preferred Shares Number                           284564527.0      353564532.0      353564541.0      381764541.0
Ordinary Shares Number                           3598862582.0     3833804452.0     3885801497.0     4144011543.0
Share Issued                                     5481811474.0     5481811474.0     5481811474.0     5481811474.0
Net Debt                                                  NaN    36213000000.0              NaN              NaN
Total Debt                                     219471000000.0   195392000000.0   173907000000.0   225587000000.0
Tangible Book Value                            132604000000.0   125126000000.0   133969000000.0   129387000000.0
